"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.230487498E-2,-5.977071805E-3,1.804318274E-3,3.767361045E-3,7.292047795E-3
5.229187495E-2,-1.139839546E-2,2.014511973E-3,-6.859953403E-3,1.345513427E-2
6.227787497E-2,-8.775647432E-3,4.000934470E-3,-7.308434844E-3,1.210093733E-2
7.226487499E-2,-1.865789185E-2,7.252794933E-3,2.421332002E-3,2.016389871E-2
8.225087496E-2,-1.116904984E-2,-7.145137643E-3,-3.949034035E-2,4.165678393E-2
9.223687497E-2,-1.827056634E-2,9.048520541E-3,-2.182707131E-2,2.986821656E-2
1.022238750E-1,-1.050111052E-2,8.035061024E-3,1.005662620E-2,1.661238268E-2
1.122098750E-1,-1.173550114E-2,9.576190640E-3,1.574596703E-2,2.184859016E-2
1.221968750E-1,-5.203688457E-3,9.428169290E-3,-8.802398443E-3,1.390866521E-2
1.321818333E-1,-9.830083139E-3,-1.804414205E-5,-4.562582374E-2,4.667276135E-2
1.421678333E-1,-5.828812912E-3,4.665639549E-3,-2.856189430E-2,2.952160325E-2
1.521548333E-1,1.958040660E-4,9.321859600E-3,-1.449115455E-2,1.723162691E-2
1.621408333E-1,-1.448122571E-2,5.862747319E-3,-1.538870215E-2,2.192920104E-2
1.721278333E-1,-1.362303260E-2,2.944548167E-3,-1.703410864E-2,2.200950337E-2
1.821138333E-1,-5.462420897E-3,-2.388372892E-3,-1.703352392E-2,1.804669787E-2
1.921008333E-1,2.869240141E-3,-4.100816790E-4,-8.650370836E-3,9.123026996E-3
2.020868333E-1,-7.608088658E-3,1.352626347E-2,-1.733173192E-2,2.326438797E-2
2.120728333E-1,8.781695645E-3,-1.059816973E-3,-1.089453220E-2,1.403325416E-2
2.220598333E-1,3.513482250E-3,1.151083787E-3,-3.334667087E-2,3.355100608E-2
2.320458333E-1,9.268174851E-3,-1.373047748E-2,-2.556227267E-2,3.046071012E-2
2.420328333E-1,1.442677808E-2,-1.805086635E-2,-1.912507296E-2,2.999556829E-2
2.520188333E-1,1.467295042E-2,2.914197464E-4,1.232008338E-3,1.472746564E-2
2.620048333E-1,9.455201242E-3,1.770066838E-2,1.859473050E-2,2.735833500E-2
2.719918333E-1,5.419089831E-3,1.464391306E-2,2.114060819E-2,2.628185760E-2
2.819778333E-1,-2.844754925E-3,-1.027440301E-2,-2.930390596E-2,3.118292630E-2
2.919648333E-1,5.490119797E-3,-1.543604176E-2,-1.119274020E-2,1.984162881E-2
3.019508333E-1,3.857001602E-3,-7.975067678E-3,8.117689490E-3,1.201561686E-2
3.119378333E-1,1.452514606E-3,5.538363894E-4,-2.092367649E-2,2.098134341E-2
3.219238333E-1,5.032394731E-3,6.554619111E-3,-1.074542820E-2,1.355552491E-2
3.319098333E-1,1.458460493E-2,1.259759772E-3,-2.811341286E-3,1.490641928E-2
3.418968333E-1,-6.702115126E-3,5.721112224E-3,1.964255154E-2,2.152856947E-2
3.518828333E-1,-2.181928035E-2,7.078479384E-3,-4.008851051E-3,2.328640703E-2
3.618698333E-1,-1.643355391E-2,1.047512239E-2,-1.164180636E-2,2.270069467E-2
3.718558333E-1,-1.668142789E-2,7.394516822E-3,-7.000871301E-3,1.954382548E-2
3.818418333E-1,-7.233960503E-3,-1.096019918E-2,-1.164122164E-2,1.754919348E-2
3.918288333E-1,1.186968789E-3,1.369495564E-3,-4.547145724E-2,4.550755802E-2
4.018148333E-1,-9.919072737E-3,-9.610022265E-3,-2.226970553E-2,2.620458579E-2
4.118018333E-1,2.776061562E-3,-9.840311198E-3,-2.346604586E-2,2.559674883E-2
4.217878333E-1,-3.455311591E-3,-3.058326761E-3,-7.299079299E-3,8.635340143E-3
4.317748333E-1,-2.050105528E-2,4.537352552E-3,-3.289585054E-2,3.902586089E-2
4.417608333E-1,-1.230345308E-2,-6.701306566E-3,-2.855487764E-2,3.180665817E-2
4.517468333E-1,-4.477427728E-3,5.090732127E-4,1.382866502E-3,4.713685856E-3
4.617338333E-1,-5.359699479E-3,4.683382194E-3,6.023216844E-3,9.324140091E-3
4.717198333E-1,-2.797602613E-3,7.408001963E-3,-3.828405976E-2,3.909442806E-2
4.817068333E-1,5.790591307E-3,1.011994515E-2,-1.942328095E-2,2.265409633E-2
4.916928333E-1,7.103179302E-4,3.894761824E-3,3.251870513E-2,3.275881415E-2
5.016788333E-1,-6.440708041E-4,1.508646963E-2,-1.732763886E-2,2.298398272E-2
5.116658333E-1,1.207574742E-2,9.705208540E-3,-2.570962250E-2,3.001665268E-2
5.216518333E-1,8.734568458E-3,-9.084608825E-3,1.186283112E-2,1.730750027E-2
5.316388333E-1,6.160820557E-3,-6.972996527E-3,1.186283112E-2,1.507664262E-2
5.416248333E-1,4.232383710E-3,-4.997491878E-3,-8.794212341E-3,1.096476938E-2
5.516118333E-1,7.936772984E-3,-5.028162352E-3,-2.451152802E-2,2.625051976E-2
5.615978333E-1,8.024360163E-3,1.126265097E-3,-6.249504089E-3,1.023304111E-2
5.715838333E-1,4.749720683E-4,5.927820434E-3,1.365851104E-2,1.489696538E-2
5.815708333E-1,-1.310995999E-3,5.360667924E-3,-1.010983586E-3,5.610486513E-3
5.915568333E-1,-1.261524671E-2,4.334029332E-3,-3.349402070E-2,3.605242964E-2
6.015438333E-1,-3.426897777E-3,5.356510920E-3,-5.502814651E-3,8.409328551E-3
6.115298333E-1,-3.986736699E-3,4.192284602E-3,7.841116190E-4,5.838163300E-3
6.215158333E-1,-7.845245786E-3,6.083507119E-3,-2.720767915E-2,2.896229869E-2
6.315028333E-1,-7.119722811E-3,6.794999060E-3,-2.301639497E-2,2.503231717E-2
6.414888333E-1,-4.442141152E-3,6.790197948E-3,-2.808417678E-3,8.586420444E-3
6.514758333E-1,-4.448860881E-3,-5.995314661E-3,-8.624643087E-4,7.515318071E-3
6.614618333E-1,-6.242825473E-3,8.079938404E-4,-3.334433198E-2,3.393331990E-2
6.714488333E-1,-1.004660371E-2,5.920890570E-3,-3.214682221E-2,3.419662805E-2
6.814348333E-1,-1.013357876E-2,-6.153760501E-3,-8.645693064E-3,1.467331576E-2
